RTPX7L, G, 0, -inf, -inf, inf
3JRRBS, B, 1, inf, -inf, inf
4W88SH, G, 2, -inf, -inf, inf
57VQP8, B, 3, inf, -inf, inf
5WJZAB, G, 4, 30, -inf, inf
57VQP8, B, 3, 30, -inf, 30
5WJZAB, R, 4, 20, -inf, 30
57VQP8, B, 3, 20, -inf, 20
5WJZAB, Y, 4, 30, -inf, 20
57VQP8, B, 3, 20, -inf, 20
99AGNJ, B, 4, 18, -inf, 20
57VQP8, B, 3, 18, -inf, 18
99AGNJ, R, 4, 20, -inf, 18
57VQP8, B, 3, 18, -inf, 18
99AGNJ, Y, 4, 30, -inf, 18
57VQP8, B, 3, 18, -inf, 18
FYJ5GS, G, 4, 30, -inf, 18
57VQP8, B, 3, 18, -inf, 18
FYJ5GS, R, 4, 20, -inf, 18
57VQP8, B, 3, 18, -inf, 18
FYJ5GS, Y, 4, 30, -inf, 18
57VQP8, B, 3, 18, -inf, 18
G6KWSZ, B, 4, 18, -inf, 18
57VQP8, B, 3, 18, -inf, 18
G6KWSZ, Y, 4, 30, -inf, 18
57VQP8, B, 3, 18, -inf, 18
LYNPT4, B, 4, 18, -inf, 18
57VQP8, B, 3, 18, -inf, 18
LYNPT4, R, 4, 20, -inf, 18
57VQP8, B, 3, 18, -inf, 18
LYNPT4, Y, 4, 30, -inf, 18
57VQP8, B, 3, 18, -inf, 18
OBP6OQ, B, 4, 18, -inf, 18
57VQP8, B, 3, 18, -inf, 18
OBP6OQ, G, 4, 30, -inf, 18
57VQP8, B, 3, 18, -inf, 18
OBP6OQ, Y, 4, 30, -inf, 18
57VQP8, B, 3, 18, -inf, 18
SH4601, G, 4, 30, -inf, 18
57VQP8, B, 3, 18, -inf, 18
SH4601, R, 4, 20, -inf, 18
57VQP8, B, 3, 18, -inf, 18
SH4601, Y, 4, 30, -inf, 18
57VQP8, B, 3, 18, -inf, 18
TI082Q, B, 4, 18, -inf, 18
57VQP8, B, 3, 18, -inf, 18
TI082Q, R, 4, 20, -inf, 18
57VQP8, B, 3, 18, -inf, 18
TI082Q, Y, 4, 30, -inf, 18
57VQP8, B, 3, 18, -inf, 18
TROFOM, G, 4, 30, -inf, 18
57VQP8, B, 3, 18, -inf, 18
TROFOM, R, 4, 20, -inf, 18
57VQP8, B, 3, 18, -inf, 18
TROFOM, Y, 4, 30, -inf, 18
57VQP8, B, 3, 18, -inf, 18
UD3BEB, G, 4, 30, -inf, 18
57VQP8, B, 3, 18, -inf, 18
UD3BEB, R, 4, 20, -inf, 18
57VQP8, B, 3, 18, -inf, 18
UD3BEB, Y, 4, 30, -inf, 18
57VQP8, B, 3, 18, -inf, 18
ZHDMMH, G, 4, 30, -inf, 18
57VQP8, B, 3, 18, -inf, 18
ZHDMMH, R, 4, 20, -inf, 18
57VQP8, B, 3, 18, -inf, 18
ZHDMMH, Y, 4, 30, -inf, 18
57VQP8, B, 3, 18, -inf, 18
4W88SH, G, 2, 18, 18, inf
57VQP8, Y, 3, inf, 18, inf
5WJZAB, G, 4, 25, 18, inf
57VQP8, Y, 3, 25, 18, 25
5WJZAB, R, 4, 15, 18, 25
57VQP8, Y, 3, 15, 18, 25
4W88SH, G, 2, 18, 18, inf
5WJZAB, G, 3, inf, 18, inf
57VQP8, B, 4, 11, 18, inf
5WJZAB, G, 3, 11, 18, inf
4W88SH, G, 2, 18, 18, inf
5WJZAB, R, 3, inf, 18, inf
57VQP8, B, 4, 3, 18, inf
5WJZAB, R, 3, 3, 18, inf
4W88SH, G, 2, 18, 18, inf
5WJZAB, Y, 3, inf, 18, inf
57VQP8, B, 4, 13, 18, inf
5WJZAB, Y, 3, 13, 18, inf
4W88SH, G, 2, 18, 18, inf
99AGNJ, B, 3, inf, 18, inf
57VQP8, B, 4, 18, 18, inf
99AGNJ, B, 3, 18, 18, inf
4W88SH, G, 2, 18, 18, inf
99AGNJ, R, 3, inf, 18, inf
57VQP8, B, 4, 3, 18, inf
99AGNJ, R, 3, 3, 18, inf
4W88SH, G, 2, 18, 18, inf
99AGNJ, Y, 3, inf, 18, inf
57VQP8, B, 4, 13, 18, inf
99AGNJ, Y, 3, 13, 18, inf
4W88SH, G, 2, 18, 18, inf
FYJ5GS, G, 3, inf, 18, inf
57VQP8, B, 4, 11, 18, inf
FYJ5GS, G, 3, 11, 18, inf
4W88SH, G, 2, 18, 18, inf
FYJ5GS, R, 3, inf, 18, inf
57VQP8, B, 4, 3, 18, inf
FYJ5GS, R, 3, 3, 18, inf
4W88SH, G, 2, 18, 18, inf
FYJ5GS, Y, 3, inf, 18, inf
57VQP8, B, 4, 13, 18, inf
FYJ5GS, Y, 3, 13, 18, inf
4W88SH, G, 2, 18, 18, inf
G6KWSZ, B, 3, inf, 18, inf
57VQP8, B, 4, 18, 18, inf
G6KWSZ, B, 3, 18, 18, inf
4W88SH, G, 2, 18, 18, inf
G6KWSZ, Y, 3, inf, 18, inf
57VQP8, B, 4, 13, 18, inf
G6KWSZ, Y, 3, 13, 18, inf
4W88SH, G, 2, 18, 18, inf
LYNPT4, B, 3, inf, 18, inf
57VQP8, B, 4, 18, 18, inf
LYNPT4, B, 3, 18, 18, inf
4W88SH, G, 2, 18, 18, inf
LYNPT4, R, 3, inf, 18, inf
57VQP8, B, 4, 3, 18, inf
LYNPT4, R, 3, 3, 18, inf
4W88SH, G, 2, 18, 18, inf
LYNPT4, Y, 3, inf, 18, inf
57VQP8, B, 4, 13, 18, inf
LYNPT4, Y, 3, 13, 18, inf
4W88SH, G, 2, 18, 18, inf
OBP6OQ, B, 3, inf, 18, inf
57VQP8, B, 4, 18, 18, inf
OBP6OQ, B, 3, 18, 18, inf
4W88SH, G, 2, 18, 18, inf
OBP6OQ, G, 3, inf, 18, inf
57VQP8, B, 4, 11, 18, inf
OBP6OQ, G, 3, 11, 18, inf
4W88SH, G, 2, 18, 18, inf
OBP6OQ, Y, 3, inf, 18, inf
57VQP8, B, 4, 13, 18, inf
OBP6OQ, Y, 3, 13, 18, inf
4W88SH, G, 2, 18, 18, inf
SH4601, G, 3, inf, 18, inf
57VQP8, B, 4, 11, 18, inf
SH4601, G, 3, 11, 18, inf
4W88SH, G, 2, 18, 18, inf
SH4601, R, 3, inf, 18, inf
57VQP8, B, 4, 3, 18, inf
SH4601, R, 3, 3, 18, inf
4W88SH, G, 2, 18, 18, inf
SH4601, Y, 3, inf, 18, inf
57VQP8, B, 4, 13, 18, inf
SH4601, Y, 3, 13, 18, inf
4W88SH, G, 2, 18, 18, inf
TI082Q, B, 3, inf, 18, inf
57VQP8, B, 4, 18, 18, inf
TI082Q, B, 3, 18, 18, inf
4W88SH, G, 2, 18, 18, inf
TI082Q, R, 3, inf, 18, inf
57VQP8, B, 4, 3, 18, inf
TI082Q, R, 3, 3, 18, inf
4W88SH, G, 2, 18, 18, inf
TI082Q, Y, 3, inf, 18, inf
57VQP8, B, 4, 13, 18, inf
TI082Q, Y, 3, 13, 18, inf
4W88SH, G, 2, 18, 18, inf
TROFOM, G, 3, inf, 18, inf
57VQP8, B, 4, 11, 18, inf
TROFOM, G, 3, 11, 18, inf
4W88SH, G, 2, 18, 18, inf
TROFOM, R, 3, inf, 18, inf
57VQP8, B, 4, 3, 18, inf
TROFOM, R, 3, 3, 18, inf
4W88SH, G, 2, 18, 18, inf
TROFOM, Y, 3, inf, 18, inf
57VQP8, B, 4, 13, 18, inf
TROFOM, Y, 3, 13, 18, inf
4W88SH, G, 2, 18, 18, inf
3JRRBS, B, 1, 18, -inf, 18
4W88SH, R, 2, -inf, -inf, 18
57VQP8, B, 3, inf, -inf, 18
5WJZAB, G, 4, 20, -inf, 18
57VQP8, B, 3, 20, -inf, 18
5WJZAB, R, 4, 10, -inf, 18
57VQP8, B, 3, 10, -inf, 10
5WJZAB, Y, 4, 20, -inf, 10
57VQP8, B, 3, 10, -inf, 10
99AGNJ, B, 4, 8, -inf, 10
57VQP8, B, 3, 8, -inf, 8
99AGNJ, Y, 4, 20, -inf, 8
57VQP8, B, 3, 8, -inf, 8
FYJ5GS, G, 4, 20, -inf, 8
57VQP8, B, 3, 8, -inf, 8
FYJ5GS, R, 4, 10, -inf, 8
57VQP8, B, 3, 8, -inf, 8
FYJ5GS, Y, 4, 20, -inf, 8
57VQP8, B, 3, 8, -inf, 8
G6KWSZ, B, 4, 8, -inf, 8
57VQP8, B, 3, 8, -inf, 8
G6KWSZ, Y, 4, 20, -inf, 8
57VQP8, B, 3, 8, -inf, 8
LYNPT4, B, 4, 8, -inf, 8
57VQP8, B, 3, 8, -inf, 8
LYNPT4, G, 4, 20, -inf, 8
57VQP8, B, 3, 8, -inf, 8
LYNPT4, Y, 4, 20, -inf, 8
57VQP8, B, 3, 8, -inf, 8
OBP6OQ, B, 4, 8, -inf, 8
57VQP8, B, 3, 8, -inf, 8
OBP6OQ, G, 4, 20, -inf, 8
57VQP8, B, 3, 8, -inf, 8
OBP6OQ, Y, 4, 20, -inf, 8
57VQP8, B, 3, 8, -inf, 8
SH4601, G, 4, 20, -inf, 8
57VQP8, B, 3, 8, -inf, 8
SH4601, R, 4, 10, -inf, 8
57VQP8, B, 3, 8, -inf, 8
SH4601, Y, 4, 20, -inf, 8
57VQP8, B, 3, 8, -inf, 8
TI082Q, B, 4, 8, -inf, 8
57VQP8, B, 3, 8, -inf, 8
TI082Q, R, 4, 10, -inf, 8
57VQP8, B, 3, 8, -inf, 8
TI082Q, Y, 4, 20, -inf, 8
57VQP8, B, 3, 8, -inf, 8
TROFOM, G, 4, 20, -inf, 8
57VQP8, B, 3, 8, -inf, 8
TROFOM, R, 4, 10, -inf, 8
57VQP8, B, 3, 8, -inf, 8
TROFOM, Y, 4, 20, -inf, 8
57VQP8, B, 3, 8, -inf, 8
UD3BEB, G, 4, 20, -inf, 8
57VQP8, B, 3, 8, -inf, 8
UD3BEB, R, 4, 10, -inf, 8
57VQP8, B, 3, 8, -inf, 8
UD3BEB, Y, 4, 20, -inf, 8
57VQP8, B, 3, 8, -inf, 8
ZHDMMH, G, 4, 20, -inf, 8
57VQP8, B, 3, 8, -inf, 8
ZHDMMH, R, 4, 10, -inf, 8
57VQP8, B, 3, 8, -inf, 8
ZHDMMH, Y, 4, 20, -inf, 8
57VQP8, B, 3, 8, -inf, 8
4W88SH, R, 2, 8, 8, 18
57VQP8, G, 3, inf, 8, 18
5WJZAB, G, 4, 13, 8, 18
57VQP8, G, 3, 13, 8, 13
5WJZAB, R, 4, 3, 8, 13
57VQP8, G, 3, 3, 8, 13
4W88SH, R, 2, 8, 8, 18
57VQP8, Y, 3, inf, 8, 18
5WJZAB, G, 4, 15, 8, 18
57VQP8, Y, 3, 15, 8, 15
5WJZAB, R, 4, 5, 8, 15
57VQP8, Y, 3, 5, 8, 15
4W88SH, R, 2, 8, 8, 18
5WJZAB, G, 3, inf, 8, 18
57VQP8, B, 4, 1, 8, 18
5WJZAB, G, 3, 1, 8, 18
4W88SH, R, 2, 8, 8, 18
5WJZAB, R, 3, inf, 8, 18
57VQP8, B, 4, -7, 8, 18
5WJZAB, R, 3, -7, 8, 18
4W88SH, R, 2, 8, 8, 18
5WJZAB, Y, 3, inf, 8, 18
